-30.5+70.5i
8.5-10.5i
7.5+20.5i
49.5+27.5i
-58.5+46.5i
53.5-15.5i
-79.5+107.5i
-30.5-127.5i
127.5+80.5i
-86.5+112.5i
-54.5-9.5i
-20.5+43.5i
-127.5-12.5i
-0.5-127.5i
127.5+26.5i
-31.5+64.5i
8.5-21.5i
14.5+13.5i
34.5+19.5i
-6.5+70.5i
-30.5+23.5i
-19.5+24.5i
-44.5+33.5i
-85.5-29.5i
25.5-82.5i
40.5+59.5i
-95.5-3.5i
29.5-99.5i
37.5+29.5i
5.5-29.5i
55.5+13.5i
-11.5+9.5i
52.5-24.5i
63.5+62.5i
-41.5+59.5i
-4.5-43.5i
116.5+26.5i
8.5+127.5i
-46.5+22.5i
38.5+109.5i
-127.5+112.5i
-122.5-84.5i
8.5-34.5i
-58.5+16.5i
-56.5-68.5i
2.5-39.5i
-3.5-30.5i
-44.5-46.5i
26.5-120.5i
112.5-42.5i
85.5+19.5i
53.5+24.5i
67.5+66.5i
-49.5+54.5i
41.5-29.5i
64.5+116.5i
-86.5+66.5i
-30.5-5.5i
1.5+28.5i
-82.5+50.5i
-78.5-94.5i
76.5-17.5i
-78.5+28.5i
-9.5-100.5i
64.5-0.5i
-40.5+54.5i
-63.5-94.5i
47.5-59.5i
6.5-31.5i
43.5-77.5i
104.5-0.5i
-3.5-19.5i
127.5-38.5i
49.5+79.5i
73.5+6.5i
42.5+107.5i
-9.5+33.5i
-12.5+58.5i
-8.5-11.5i
34.5+69.5i
-68.5+16.5i
45.5-4.5i
-42.5+50.5i
-4.5-41.5i
19.5+28.5i
33.5-10.5i
27.5+78.5i
-42.5+55.5i
-40.5+21.5i
-49.5+13.5i
-37.5-2.5i
-39.5-5.5i
-22.5-54.5i
33.5+11.5i
-76.5+21.5i
-6.5-100.5i
37.5+19.5i
-25.5-56.5i
87.5+0.5i
-13.5+29.5i
19.5+25.5i
-47.5+35.5i
-65.5-40.5i
6.5-91.5i
112.5-29.5i
47.5+78.5i
-42.5+24.5i
19.5-20.5i
13.5+37.5i
-6.5-21.5i
53.5+52.5i
-39.5+41.5i
-38.5+42.5i
-83.5-61.5i
75.5-62.5i
35.5+55.5i
-44.5+31.5i
-12.5-47.5i
57.5+62.5i
-118.5-8.5i
74.5-100.5i
69.5+86.5i
-18.5+54.5i
-43.5+18.5i
4.5-13.5i
24.5+48.5i
-36.5+59.5i
-57.5+34.5i
-98.5+29.5i
-127.5-72.5i
38.5-121.5i
27.5+16.5i
-9.5-31.5i
-3.5+3.5i
-6.5-57.5i
1.5-26.5i
66.5-102.5i
127.5+80.5i
-60.5+54.5i
8.5-49.5i
69.5-7.5i
52.5+29.5i
59.5+49.5i
-9.5+89.5i
-30.5+24.5i
-46.5+5.5i
47.5-60.5i
55.5+105.5i
-69.5+4.5i
21.5+9.5i
-27.5-38.5i
107.5-23.5i
78.5+79.5i
6.5+113.5i
-44.5+64.5i
-35.5+43.5i
-26.5+9.5i
18.5+44.5i
-68.5+79.5i
-72.5-22.5i
-11.5+34.5i
-126.5-3.5i
-10.5-99.5i
7.5+41.5i
-97.5-19.5i
-94.5-83.5i
-10.5-127.5i
109.5-111.5i
121.5-78.5i
127.5+20.5i
40.5+48.5i
69.5-19.5i
