127.5+123.5i
-118.5-127.5i
-127.5+127.5i
-57.5-96.5i
92.5-127.5i
127.5-26.5i
42.5+13.5i
-127.5-127.5i
63.5-55.5i
-72.5-127.5i
119.5+18.5i
70.5-76.5i
-83.5-127.5i
-6.5-53.5i
-127.5-127.5i
-127.5-127.5i
-127.5+18.5i
91.5-49.5i
-82.5-127.5i
-101.5+51.5i
71.5-80.5i
-127.5-127.5i
-107.5+24.5i
-7.5+127.5i
-69.5+127.5i
127.5+14.5i
-120.5+11.5i
-50.5-48.5i
-11.5+127.5i
-49.5+106.5i
114.5+52.5i
-2.5+127.5i
-8.5+127.5i
127.5-15.5i
27.5+100.5i
-127.5+127.5i
127.5+121.5i
-60.5+126.5i
84.5+2.5i
127.5+21.5i
127.5+60.5i
-7.5+32.5i
-127.5-127.5i
-28.5+25.5i
124.5+44.5i
-127.5-124.5i
-109.5-18.5i
-44.5-22.5i
-127.5-127.5i
-127.5-80.5i
33.5+36.5i
-49.5-77.5i
-120.5-115.5i
-127.5+6.5i
-127.5+98.5i
40.5+98.5i
-54.5-124.5i
-102.5+127.5i
127.5+55.5i
127.5-73.5i
-109.5+62.5i
32.5+49.5i
124.5-18.5i
127.5+63.5i
127.5+92.5i
-88.5-14.5i
-45.5-29.5i
-127.5-5.5i
77.5-0.5i
127.5+69.5i
85.5-18.5i
50.5-61.5i
-127.5+101.5i
-50.5-127.5i
14.5+76.5i
-127.5+127.5i
-127.5-10.5i
-6.5+63.5i
-117.5+127.5i
-127.5+36.5i
-127.5+39.5i
-76.5+89.5i
-27.5-9.5i
-45.5+96.5i
120.5-8.5i
-127.5-91.5i
-127.5-124.5i
25.5-44.5i
127.5+7.5i
84.5+52.5i
97.5+127.5i
-11.5+39.5i
30.5+120.5i
127.5+97.5i
114.5+127.5i
92.5+126.5i
62.5-107.5i
-56.5-54.5i
-52.5+127.5i
109.5-62.5i
67.5+71.5i
-127.5-17.5i
64.5-51.5i
-110.5-2.5i
-127.5-127.5i
-95.5-16.5i
-73.5-33.5i
-105.5-127.5i
119.5-127.5i
7.5-21.5i
-127.5-127.5i
102.5-127.5i
-127.5-9.5i
-47.5+41.5i
-94.5-117.5i
-126.5+90.5i
-55.5-119.5i
39.5+90.5i
-127.5+124.5i
19.5-114.5i
-59.5-127.5i
-127.5+90.5i
11.5+78.5i
-82.5-101.5i
-42.5-26.5i
-81.5-66.5i
-127.5-127.5i
-36.5+127.5i
74.5-25.5i
-127.5-127.5i
109.5-123.5i
-112.5-95.5i
-127.5+60.5i
127.5+127.5i
71.5+7.5i
-127.5+10.5i
-125.5+82.5i
-65.5-80.5i
22.5-40.5i
-19.5-46.5i
53.5+99.5i
-16.5+127.5i
47.5-127.5i
-19.5-120.5i
81.5+61.5i
73.5-127.5i
-109.5-127.5i
-71.5+58.5i
127.5-127.5i
-36.5-127.5i
-127.5-102.5i
46.5-38.5i
127.5-20.5i
-127.5-39.5i
-92.5+20.5i
73.5+127.5i
-125.5-127.5i
-32.5-127.5i
-50.5+50.5i
-81.5-127.5i
5.5-127.5i
34.5+105.5i
-127.5-77.5i
-53.5+12.5i
-26.5-127.5i
-127.5+12.5i
127.5+47.5i
9.5+53.5i
-48.5+86.5i
85.5-32.5i
127.5+72.5i
-84.5+127.5i
-108.5+127.5i
-8.5+44.5i
-66.5-12.5i
39.5-99.5i
-55.5-127.5i
-102.5-26.5i
3.5+127.5i
100.5+43.5i
-75.5-127.5i
-7.5-52.5i
-5.5-125.5i
-78.5-84.5i
-127.5-127.5i
-127.5-67.5i
21.5-69.5i
-127.5-118.5i
104.5-108.5i
-68.5-111.5i
-43.5-76.5i
123.5+55.5i
31.5+127.5i
89.5+127.5i
127.5+127.5i
-96.5-59.5i
-127.5-102.5i
-72.5-127.5i
-115.5-127.5i
127.5-16.5i
122.5-55.5i
-53.5-127.5i
127.5-127.5i
87.5-108.5i
-56.5+93.5i
26.5+100.5i
-5.5+32.5i
-127.5-127.5i
-42.5+95.5i
127.5+83.5i
22.5-106.5i
-127.5-74.5i
-51.5+123.5i
21.5-127.5i
-6.5+34.5i
-97.5+47.5i
74.5+62.5i
127.5+127.5i
112.5+2.5i
-99.5-127.5i
42.5-9.5i
36.5-32.5i
127.5+127.5i
-10.5+24.5i
-127.5+11.5i
127.5+127.5i
127.5-11.5i
-72.5-0.5i
-127.5+127.5i
-7.5-59.5i
-127.5-127.5i
-127.5-1.5i
-127.5-91.5i
-127.5-66.5i
22.5+71.5i
30.5+127.5i
85.5-81.5i
-127.5+15.5i
-117.5+127.5i
-96.5+127.5i
127.5+72.5i
37.5+81.5i
127.5-120.5i
-127.5+18.5i
89.5-33.5i
127.5+100.5i
127.5+100.5i
124.5+43.5i
104.5-127.5i
-78.5+101.5i
114.5-127.5i
127.5-127.5i
-37.5+127.5i
16.5-88.5i
-43.5-11.5i
41.5-31.5i
127.5-127.5i
-53.5+32.5i
-13.5+105.5i
89.5-127.5i
-96.5+20.5i
68.5-127.5i
87.5-94.5i
10.5+74.5i
84.5-127.5i
-2.5-60.5i
-127.5+69.5i
-23.5+110.5i
19.5+101.5i
-80.5+84.5i
39.5+55.5i
-127.5-59.5i
-127.5+58.5i
127.5-64.5i
37.5-25.5i
-4.5+25.5i
127.5-35.5i
45.5+63.5i
10.5+40.5i
127.5-40.5i
-94.5+127.5i
-47.5-7.5i
113.5+127.5i
-127.5+54.5i
21.5-84.5i
70.5-9.5i
-14.5+107.5i
-80.5-3.5i
