-8.5+39.5i
24.5+38.5i
-5.5-19.5i
19.5-5.5i
34.5+14.5i
-18.5+1.5i
0.5-8.5i
3.5-7.5i
0.5-0.5i
6.5-1.5i
8.5-11.5i
-3.5-9.5i
2.5-3.5i
-9.5-9.5i
-8.5+5.5i
30.5+7.5i
-25.5+31.5i
0.5+35.5i
12.5+5.5i
39.5+24.5i
69.5-2.5i
-8.5+0.5i
8.5+23.5i
5.5+44.5i
-18.5+22.5i
-9.5-4.5i
-2.5+5.5i
-3.5-4.5i
-1.5-1.5i
7.5-3.5i
16.5+34.5i
3.5-19.5i
31.5-8.5i
29.5+48.5i
9.5-51.5i
-24.5-21.5i
22.5-1.5i
11.5+0.5i
0.5+0.5i
0.5-4.5i
-4.5-1.5i
4.5+9.5i
-14.5+3.5i
14.5+9.5i
29.5-28.5i
8.5-16.5i
-73.5+17.5i
44.5+53.5i
-16.5-6.5i
17.5-39.5i
43.5-9.5i
15.5-5.5i
9.5+20.5i
-34.5+2.5i
12.5-46.5i
-5.5+7.5i
14.5-17.5i
15.5+7.5i
5.5-10.5i
-9.5-7.5i
-35.5+23.5i
6.5-10.5i
33.5+12.5i
-1.5-4.5i
2.5+1.5i
2.5+6.5i
1.5-33.5i
-3.5+2.5i
4.5-1.5i
-5.5-3.5i
11.5+0.5i
22.5+2.5i
0.5+0.5i
6.5-13.5i
-47.5-17.5i
-33.5-63.5i
-3.5-25.5i
1.5+13.5i
-12.5+51.5i
-38.5-50.5i
-5.5-13.5i
45.5+35.5i
-15.5-3.5i
-14.5+12.5i
17.5-5.5i
-4.5+0.5i
1.5+4.5i
-0.5-3.5i
18.5-0.5i
24.5+18.5i
-9.5-6.5i
-2.5+4.5i
16.5+13.5i
47.5-11.5i
-0.5-20.5i
12.5+9.5i
9.5-1.5i
-7.5+8.5i
3.5+5.5i
3.5+0.5i
-6.5-3.5i
-0.5-2.5i
0.5+7.5i
-4.5-10.5i
47.5+25.5i
-12.5+36.5i
-17.5-13.5i
-4.5+8.5i
-3.5+1.5i
-4.5+0.5i
19.5-2.5i
36.5+12.5i
17.5+16.5i
10.5-3.5i
-5.5+4.5i
6.5+5.5i
-5.5-2.5i
-2.5-2.5i
7.5+2.5i
5.5-1.5i
1.5-3.5i
-7.5-0.5i
-5.5-6.5i
-5.5-8.5i
8.5-32.5i
21.5-39.5i
-5.5-2.5i
-14.5-15.5i
-20.5+6.5i
11.5+22.5i
9.5+31.5i
-2.5-17.5i
3.5+15.5i
-6.5+13.5i
9.5-9.5i
-6.5+0.5i
-1.5-14.5i
5.5+12.5i
-10.5+5.5i
-2.5-1.5i
-13.5-13.5i
14.5-7.5i
4.5-22.5i
-16.5+2.5i
13.5-20.5i
1.5-3.5i
6.5+8.5i
16.5+19.5i
-7.5+2.5i
16.5+5.5i
14.5+10.5i
-28.5-4.5i
23.5-20.5i
48.5-19.5i
13.5+107.5i
-30.5+15.5i
-16.5-16.5i
0.5+9.5i
4.5-2.5i
-3.5-0.5i
-0.5+5.5i
4.5+5.5i
-4.5-1.5i
18.5+6.5i
15.5+10.5i
-23.5-1.5i
23.5+46.5i
15.5-10.5i
11.5-55.5i
1.5+19.5i
67.5-33.5i
70.5+11.5i
-3.5+99.5i
52.5-3.5i
-23.5+61.5i
-94.5-42.5i
97.5-17.5i
-54.5+92.5i
2.5-26.5i
80.5+28.5i
106.5+54.5i
55.5-21.5i
-77.5+11.5i
127.5-58.5i
16.5-62.5i
-24.5+5.5i
-17.5-39.5i
-16.5+2.5i
-8.5-21.5i
-28.5+11.5i
-17.5+23.5i
-28.5+13.5i
-23.5+17.5i
10.5+6.5i
18.5-7.5i
7.5-10.5i
-1.5+2.5i
6.5+4.5i
-3.5-0.5i
-18.5-11.5i
-0.5+2.5i
5.5+10.5i
0.5+9.5i
4.5-4.5i
20.5-26.5i
-1.5-13.5i
0.5-31.5i
13.5+27.5i
15.5+1.5i
-61.5+3.5i
-52.5+50.5i
25.5-27.5i
0.5-0.5i
55.5-5.5i
-67.5+20.5i
46.5-127.5i
-58.5+127.5i
-122.5-76.5i
-29.5-66.5i
-12.5+7.5i
-124.5-12.5i
-22.5+60.5i
35.5+25.5i
4.5+98.5i
27.5+23.5i
29.5-73.5i
-1.5+30.5i
-21.5-8.5i
3.5+11.5i
74.5-7.5i
19.5-29.5i
-37.5-54.5i
-28.5-28.5i
-16.5-1.5i
-27.5-30.5i
12.5-14.5i
-2.5+7.5i
-5.5-9.5i
1.5-13.5i
14.5+5.5i
-7.5-0.5i
-11.5-1.5i
-6.5+12.5i
-5.5-0.5i
24.5+15.5i
-8.5+23.5i
-21.5-16.5i
-2.5-9.5i
-8.5-4.5i
22.5+28.5i
-38.5-25.5i
-22.5-34.5i
17.5+11.5i
-26.5+21.5i
29.5+12.5i
-54.5-28.5i
52.5-127.5i
53.5+89.5i
10.5+75.5i
108.5+86.5i
-6.5+23.5i
124.5+45.5i
-2.5-28.5i
85.5+40.5i
53.5+15.5i
-6.5-45.5i
35.5+35.5i
2.5-1.5i
-3.5+0.5i
31.5+13.5i
